"s.0_W","s.1100_E","s.1100_W","s.1300_E","s.1300_W","s.1500_E","s.1500_W","s.1700_E","s.1700_W","s.1900_W","s.200_W","s.300_W","s.500_E","s.500_W","s.700_W","s.900_E","s.900_W","index","stat","p.value","Species","Year"
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0.586451390692238,0.001,"stenocara_dentata","modern"
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.567605260914285,0.001,"anthia_decemguttata","modern"
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.507487047567005,0.001,"zophosis_gracilicornis","modern"
