site,replicate,"pH
KCl","Resist. *
(ohm)","H+
cmol/Kg",Phosphorus,Phosphorous_censored,Potassium,Potassium_censored,Na,K_cation,Ca,Mg,"C
%",Sulfur,Sulfur_censored,"EC *
mS/m",NO3,NO3_censored
11,2,3.4,2800,1.35,2.6,FALSE,11.7,TRUE,0.05,0.03,0.19,0.15,0.84,5.3,FALSE,8.91,9,FALSE
11,3,3.2,2780,1.83,3.6,FALSE,19.8,FALSE,0.06,0.05,0.67,0.21,1.13,8,FALSE,11.05,6.4,FALSE
11,4,3.4,5360,2.12,2.4,FALSE,20.2,FALSE,0.06,0.05,0.33,0.22,1.24,7.1,FALSE,5.31,3,FALSE
12,1,3.8,4640,2.02,6.8,FALSE,57,FALSE,0.06,0.14,0.46,0.25,1.24,7,FALSE,6.95,6.4,FALSE
12,2,3.9,4210,1.66,6.9,FALSE,81.6,FALSE,0.06,0.21,0.56,0.34,1.46,7.4,FALSE,7.33,6,FALSE
12,3,3.8,3510,2.14,4.6,FALSE,94.4,FALSE,0.08,0.24,1.1,0.57,1.87,5.8,FALSE,9.19,7.5,FALSE
12,4,3.7,4540,2.14,5.5,FALSE,101,FALSE,0.08,0.26,1.1,0.6,1.77,6.4,FALSE,6.55,5,FALSE
13,1,3.6,3610,2.43,3.8,FALSE,48.2,FALSE,0.08,0.12,0.54,0.35,1.37,6.7,FALSE,8.82,7,FALSE
13,2,3.7,3400,2.43,3.7,FALSE,67.8,FALSE,0.13,0.17,0.47,0.31,1.6,8.4,FALSE,8.68,7.1,FALSE
13,3,3.6,2450,2.63,9.6,FALSE,84.2,FALSE,0.06,0.22,0.55,0.28,2.05,9.2,FALSE,12.12,14.1,FALSE
13,4,3.8,3470,2.25,7.7,FALSE,104,FALSE,0.07,0.27,0.7,0.4,1.75,8.4,FALSE,9.78,8.4,FALSE
14,1,3.4,3580,4.51,16.5,FALSE,33.7,FALSE,0.17,0.09,0.44,0.41,2.31,14.3,FALSE,11.04,4.4,FALSE
14,2,3.5,4660,2.36,4.3,FALSE,29.1,FALSE,0.08,0.07,0.41,0.24,1.42,8,FALSE,5.76,3.5,FALSE
14,3,3.7,8530,1.41,2.2,TRUE,16.2,FALSE,0.06,0.04,0.27,0.21,0.84,5.3,FALSE,3.68,0.36,FALSE
14,4,3.3,6140,1.62,4,FALSE,11.7,TRUE,0.05,0.02,0.22,0.13,0.66,5.3,FALSE,4.16,2,FALSE
15,1,3.6,2250,2.12,7.8,FALSE,21.7,FALSE,0.1,0.06,0.32,0.21,0.92,9,FALSE,12.76,10.7,FALSE
15,2,3.8,4070,1.65,5.2,FALSE,30.9,FALSE,0.08,0.08,0.28,0.19,1.19,11.3,FALSE,8.85,6.5,FALSE
15,3,3.6,5500,1.55,3.8,FALSE,15.3,FALSE,0.04,0.04,0.22,0.14,0.81,6.6,FALSE,5.27,5.6,FALSE
15,4,3.9,4750,0.79,2.3,FALSE,11.7,TRUE,0.04,0.03,0.17,0.1,0.49,6.4,FALSE,5.29,3.5,FALSE
16,1,3.8,5250,1.31,5.9,FALSE,48.7,FALSE,0.07,0.12,0.62,0.3,1.1,3.6,FALSE,5.13,1.8,FALSE
16,2,3.8,5300,1.41,6.9,FALSE,57.2,FALSE,0.08,0.15,0.74,0.29,1.28,3.8,FALSE,6.04,0.41,FALSE
16,3,3.7,4360,1.41,6.2,FALSE,43.9,FALSE,0.1,0.11,0.71,0.3,1.24,6,FALSE,6.82,2.5,FALSE
16,4,3.6,7350,1.18,5.6,FALSE,36.1,FALSE,0.06,0.09,0.41,0.28,1.02,3.4,TRUE,3.99,0.59,FALSE
17,1,5.1,1700,0.75,28.9,FALSE,139,FALSE,0.12,0.35,2.3,0.78,1.25,6,FALSE,15.77,10.6,FALSE
17,2,3.9,2440,0.93,13.8,FALSE,91.6,FALSE,0.09,0.23,0.56,0.44,0.59,6.2,FALSE,8.49,9.4,FALSE
17,3,4.8,2380,0.57,20.2,FALSE,175,FALSE,0.09,0.45,1.2,0.64,0.68,3.8,FALSE,10.08,9.2,FALSE
17,4,4.4,1390,0.66,23.6,FALSE,154,FALSE,0.11,0.39,0.79,0.57,0.61,7.2,FALSE,20.7,18.9,FALSE
