Date;Season;Sampling_event;Vegetation_type;Elevation;Acropyga arnoldi;Aenictus rotundatus;Aenictus sp.1;Anochetus levaillanti;Anoplolepis custodiens;Anoplolepis steingroeveri;Bothroponera cavernosa;Bothroponera pumicosa;Camponotus angusticeps;Camponotus baynei;Camponotus emarginatus;Camponotus fulvopilosus;Camponotus irredux;Camponotus mystaceus;Camponotus niveosetosus;Camponotus simulans;Camponotus sp.1;Camponotus sp.10;Camponotus sp.11;Camponotus sp.12;Camponotus sp.13;Camponotus sp.14;Camponotus sp.16;Camponotus sp.2;Camponotus sp.28;Camponotus sp.3;Camponotus sp.4;Camponotus sp.5;Camponotus sp.6;Camponotus sp.7;Camponotus sp.8;Camponotus sp.maculatus group;Camponotus vestitus;Cardiocondyla shuckardi;Cerapachys wroughtoni;Crematogaster melanogaster;Crematogaster peringueyi;Crematogaster sp.1;Crematogaster sp.2;Crematogaster sp.3;Crematogaster sp.4;Crematogaster sp.5;Crematogaster sp.7;Dorylus helvolus;Hypoponera sp.1;Lepisiota sp.4;Lepisiota sp.5;Lepisiota sp.6;Lepisiota sp.7;Lepisiota sp.capensis;Lepisiota sp.spinonsior;Leptogenys peringueyi;Leptothorax sp.1;Leptothorax sp.2;Leptothorax sp.3;Leptothorax sp.4;Leptothorax sp.6;Meranoplus peringueyi;Messor capensis;Messor decipiens;Messor sp.1;Monomorium esharre;Monomorium excelsior;Monomorium fridae;Monomorium havilandi;Monomorium macrops;Monomorium sp.1;Monomorium sp.10;Monomorium sp.2;Monomorium sp.3;Monomorium sp.5;Monomorium sp.6;Monomorium sp.7;Monomorium sp.8;Monomorium sp.9;Monomorium speculiceps;Monomorium willowmorense;Monomorium xanthognathum;Myrmicaria nigra;Nesomyrmex antoinettea;Nesomyrmex cederbergensis;Nesomyrmex ezantsi;Nesomyrmex karooensis;Nesomyrmex ruani;Nesomyrmex sp. njengelanga;Ocymyrmex barbiger;Pheidole sp.4;Plagiolepis sp.1;Plagiolepis sp.2;Solenopsis punctaticeps;Strumigenys sp.1;Tapinolepis sp.1;Tapinoma sp.1;Technomyrmex pallipes;Technomyrmex sp.1;Tetramorium capensis;Tetramorium dichroum;Tetramorium erectum;Tetramorium frigidum;Tetramorium jordani;Tetramorium sericeiventre;Tetramorium solidum;Tetramorium sp.10;Tetramorium sp.12;Tetramorium sp.1C;Tetramorium sp.2;Tetramorium sp.20;Tetramorium sp.22;Tetramorium sp.3;Tetramorium sp.4;Tetramorium sp.7;Tetramorium sp.8;Tetramorium sp.9;Tetramorium squaminode
Oct_2002;October;2002-2003;Proteoid;300 m a.s.l. W;0;0;0;0;24;13;14;0;0;0;0;52;0;13;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;48;0;0;0;0;0;0;0;1;0;0;0;0;0;27;0;0;0;2;3;0;0;0;0;0;2;0;0;2539;0;2;0;0;34;0;7;0;19;0;0;0;0;22;0;0;0;0;0;0;0;199;24;0;0;2;0;0;0;0;0;0;0;0;0;0;178;0;194;0;0;1;0;0;0;0;21;0;0;0
Oct_2022;October;2022-2023;Proteoid;300 m a.s.l. W;0;0;0;0;0;264;0;0;0;0;0;17;0;14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;12;0;0;0;0;0;0;0;0;3;2;0;0;11;688;25;0;0;0;5;0;0;0;13;0;0;0;0;11;0;0;0;0;0;14;0;173;130;0;0;2;0;37;0;0;0;0;0;0;2;16;167;88;0;0;7;0;0;0;5;0;0;0;0;0
Mar_2003;March;2002-2003;Proteoid;500 m a.s.l. W;0;1;0;0;2;296;0;0;2;0;0;15;0;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;0;0;0;5;1;0;0;0;0;0;0;0;0;2709;0;0;0;0;122;0;0;0;78;0;0;0;0;0;0;0;0;0;0;0;0;166;406;0;0;1;0;0;0;0;3;0;0;0;12;0;79;0;0;0;0;10;0;0;2;0;3;0;0;0
Mar_2023;March;2022-2023;Proteoid;500 m a.s.l. W;0;0;1217;0;0;1720;0;0;4;0;0;11;0;19;3;7;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;0;35;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;118;0;0;0;0;0;0;0;0;0;0;2;0;7;4419;8;0;0;0;255;1;0;0;40;0;0;0;0;0;0;0;0;0;0;6;0;271;240;0;0;1;0;36;0;0;0;0;0;0;7;0;105;18;0;0;4;0;0;0;21;0;0;0;0;0
Oct_2002;October;2002-2003;Proteoid;500 m a.s.l. W;0;0;0;0;3;73;0;0;7;0;3;20;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;3;0;0;0;15;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;25;35;0;1;8;2;0;0;0;0;0;3;0;0;4497;0;1;0;0;20;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;78;433;0;0;13;0;0;0;0;0;0;0;0;4;0;44;0;0;0;0;2;0;0;1;0;0;0;0;0
Oct_2022;October;2022-2023;Proteoid;500 m a.s.l. W;0;0;0;0;0;281;0;0;1;0;0;14;0;6;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;1;0;0;0;0;0;0;0;8;0;0;0;6253;0;0;0;0;94;0;0;0;7;0;0;0;0;0;0;0;0;0;0;2;0;139;105;0;0;0;0;15;0;0;0;0;0;0;1;0;74;9;1;0;3;0;0;0;1;0;0;0;0;0
Mar_2003;March;2002-2003;Proteoid;700 m a.s.l. W;0;0;0;0;0;2011;0;0;24;0;0;2;0;25;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;6;29;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;6;0;0;0;0;0;0;0;0;0;4509;0;0;4;0;0;0;1;0;61;0;0;0;0;0;0;0;0;0;0;0;0;84;325;0;0;0;0;0;0;0;5;0;0;0;0;0;22;0;0;0;0;53;0;0;2;0;0;3;0;0
Mar_2023;March;2022-2023;Proteoid;700 m a.s.l. W;0;0;0;0;0;1558;0;0;4;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;8;20;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;2811;0;0;0;0;4;2;0;0;36;0;0;0;0;0;0;0;0;0;0;1;0;6;401;0;0;1;0;0;0;0;0;0;0;0;7;0;54;0;0;0;0;0;0;0;0;0;11;0;0;0
Oct_2002;October;2002-2003;Proteoid;700 m a.s.l. W;0;0;0;0;0;430;0;0;4;0;0;4;0;51;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;4;0;1;2;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;17;0;0;1;0;0;0;0;0;0;3996;0;3;0;0;29;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;51;150;0;0;0;0;0;0;9;0;0;0;0;3;0;71;0;0;0;0;5;0;0;15;0;0;0;0;0
Oct_2022;October;2022-2023;Proteoid;700 m a.s.l. W;0;0;0;0;0;253;0;0;10;0;0;0;0;13;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;26;78;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;1;0;1;0;0;2819;0;0;0;0;19;0;0;0;12;0;0;0;0;0;0;0;0;0;0;2;0;23;115;0;0;1;0;0;13;0;0;0;0;0;5;0;57;0;0;0;0;0;0;0;0;0;4;0;0;0
