Sampling_event;Elevation_Vegetation type;Acropyga arnoldi;Aenictus rotundatus;Aenictus sp.1;Anochetus levaillanti;Anoplolepis custodiens;Anoplolepis steingroeveri;Bothroponera cavernosa;Bothroponera pumicosa;Camponotus angusticeps;Camponotus baynei;Camponotus emarginatus;Camponotus fulvopilosus;Camponotus irredux;Camponotus mystaceus;Camponotus niveosetosus;Camponotus simulans;Camponotus sp.1;Camponotus sp.10;Camponotus sp.11;Camponotus sp.12;Camponotus sp.13;Camponotus sp.14;Camponotus sp.16;Camponotus sp.2;Camponotus sp.28;Camponotus sp.3;Camponotus sp.4;Camponotus sp.5;Camponotus sp.6;Camponotus sp.7;Camponotus sp.8;Camponotus sp.maculatus group;Camponotus vestitus;Cardiocondyla shuckardi;Cerapachys wroughtoni;Crematogaster melanogaster;Crematogaster peringueyi;Crematogaster sp.1;Crematogaster sp.2;Crematogaster sp.3;Crematogaster sp.4;Crematogaster sp.5;Crematogaster sp.7;Dorylus helvolus;Hypoponera sp.1;Lepisiota sp.4;Lepisiota sp.5;Lepisiota sp.6;Lepisiota sp.7;Lepisiota sp.capensis;Lepisiota sp.spinonsior;Leptogenys peringueyi;Leptothorax sp.1;Leptothorax sp.2;Leptothorax sp.3;Leptothorax sp.4;Leptothorax sp.6;Meranoplus peringueyi;Messor capensis;Messor decipiens;Messor sp.1;Monomorium esharre;Monomorium excelsior;Monomorium fridae;Monomorium havilandi;Monomorium macrops;Monomorium sp.1;Monomorium sp.10;Monomorium sp.2;Monomorium sp.3;Monomorium sp.5;Monomorium sp.6;Monomorium sp.7;Monomorium sp.8;Monomorium sp.9;Monomorium speculiceps;Monomorium willowmorense;Monomorium xanthognathum;Myrmicaria nigra;Nesomyrmex antoinettea;Nesomyrmex cederbergensis;Nesomyrmex ezantsi;Nesomyrmex karooensis;Nesomyrmex ruani;Nesomyrmex sp. njengelanga;Ocymyrmex barbiger;Pheidole sp.4;Plagiolepis sp.1;Plagiolepis sp.2;Solenopsis punctaticeps;Strumigenys sp.1;Tapinolepis sp.1;Tapinoma sp.1;Technomyrmex pallipes;Technomyrmex sp.1;Tetramorium capensis;Tetramorium dichroum;Tetramorium erectum;Tetramorium frigidum;Tetramorium jordani;Tetramorium sericeiventre;Tetramorium solidum;Tetramorium sp.10;Tetramorium sp.12;Tetramorium sp.1C;Tetramorium sp.2;Tetramorium sp.20;Tetramorium sp.22;Tetramorium sp.3;Tetramorium sp.4;Tetramorium sp.7;Tetramorium sp.8;Tetramorium sp.9;Tetramorium squaminode
2002-2003;900 m a.s.l. E (Restioid);0;0;0;0;56;104;0;0;28;0;0;0;0;65;0;0;0;4;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;7;0;0;3;0;0;0;0;0;0;585;0;0;0;0;258;0;0;0;125;0;0;0;0;1;0;0;0;0;0;0;0;88;856;0;0;0;0;0;0;0;0;0;21;0;0;0;65;0;0;0;0;15;0;0;7;0;0;0;0;0
2002-2003;500 m a.s.l. E (Succulent_Karoo);0;0;0;1;4;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;10;0;0;0;0;35;0;0;723;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;437;1388;0;0;0;0;0;0;0;0;0;0;0;0;0;317;5;0;0;0;0;0;0;0;43;0;0;0;0
2022-2023;0 m a.s.l. W (Strandveld);0;0;0;0;0;1;0;0;0;2;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;4;60;4;0;0;5;0;0;0;491;0;0;0;0;0;0;0;0;0;0;0;5;59;944;1;0;0;0;0;0;0;0;0;0;0;0;16;0;143;0;0;4;0;0;0;14;0;0;0;6;0;0;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-2023;200 m a.s.l. W (Restioid);0;0;0;0;0;0;0;0;3;1;0;3;0;54;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;8937;0;0;0;0;0;0;0;0;136;0;0;0;2;7;0;0;0;0;0;0;0;106;202;0;0;2;0;43;0;0;0;0;0;1;0;6;5;12;2;0;0;0;0;0;9;0;0;0;0;0
2022-2023;300 m a.s.l. W (Proteoid);0;0;0;0;0;4136;0;0;0;0;0;32;0;52;5;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;76;0;0;0;0;0;0;0;0;3;8;0;0;17;4070;25;0;0;0;51;0;0;0;35;0;0;0;0;12;0;0;0;0;0;17;0;342;571;0;0;2;0;140;0;0;0;0;0;0;2;92;300;172;0;0;14;0;0;0;8;0;5;0;0;0
2022-2023;500 m a.s.l. W (Proteoid);0;0;1217;0;0;2001;0;0;5;0;0;25;0;25;11;7;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;4;0;45;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;127;1;1;0;0;0;0;0;0;0;8;2;0;7;10672;8;0;0;0;349;1;0;0;47;0;0;0;0;0;0;0;0;0;0;8;0;410;345;0;0;1;0;51;0;0;0;0;0;0;8;0;179;27;1;0;7;0;0;0;22;0;0;0;0;0
2022-2023;700 m a.s.l. W (Proteoid);0;0;0;0;0;1811;0;0;14;0;0;0;0;26;4;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;34;98;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;46;0;0;0;0;0;0;0;0;1;0;1;0;0;5630;0;0;0;0;23;2;0;0;48;0;0;0;0;0;0;0;0;0;0;3;0;29;516;0;0;2;0;0;13;0;0;0;0;0;12;0;111;0;0;0;0;0;0;0;0;0;15;0;0;0
2022-2023;900 m a.s.l. W (Restioid);0;0;0;0;0;24861;0;0;12;0;0;0;0;3;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;205;0;0;0;0;0;0;0;0;0;0;0;0;0;1071;0;0;0;0;0;8;0;0;171;0;0;0;0;4;0;0;0;0;0;0;0;29;33;4;5;0;0;0;6;3;0;0;2;0;10;0;29;0;0;0;37;0;0;0;2;0;3;0;0;0
2022-2023;1100 m a.s.l. W (Ericaceous);0;0;0;0;1080;1008;0;0;22;0;0;0;0;34;18;0;0;0;0;0;0;0;9;0;2;15;0;0;0;7;0;0;8;3;0;0;0;23;0;0;3;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;2;0;0;5;0;0;0;18;0;0;0;0;0;0;0;92;0;0;0;0;0;0;0;4;0;0;0;0;452;276;0;0;0;0;0;0;0;0;0;0;0;5;0;150;46;0;0;15;0;0;0;0;0;0;0;0;0
2022-2023;1300 m a.s.l. W (Ericaceous);0;0;0;0;248;486;0;0;11;0;0;0;0;2;23;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;7;21;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;84;1;0;0;0;0;0;0;0;0;0;3;0;0;464;163;0;0;0;0;1;0;0;42;0;0;0;40;10;0;0;1;0;0;0;0;383;47;1;5;33;0;0;8;0;0;0;0;0;15;1;137;2;0;0;34;0;0;0;0;12;0;0;0;0
2022-2023;1500 m a.s.l. W (Ericaceous);0;0;0;0;313;0;0;34;0;0;0;0;0;0;11;2;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;2;0;0;0;0;0;75;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;948;0;0;0;0;0;1;0;0;11;0;0;0;9;0;0;0;0;0;0;0;0;55;34;42;116;1;0;0;0;0;0;0;0;0;28;0;25;0;0;0;2;0;0;0;0;40;0;0;0;0
2022-2023;1700 m a.s.l. W (Ericaceous);0;0;0;0;417;0;0;0;0;0;0;0;0;3;2;21;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;1;0;2;0;0;28;0;0;0;0;0;3;0;0;144;0;0;0;41;0;0;5;0;0;0;0;0;35;20;1;54;14;0;0;0;0;0;0;0;0;3;0;4;0;0;23;0;0;0;0;0;0;0;0;0;0
2022-2023;1900 m a.s.l. (Peak) (Alpine);0;0;0;0;325;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1;0;0;7;0;11;0;0;0;0;0;0;3;0;0;0;0;0;20;0;0;1;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;2;0;0;0;0;0;18;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;111;0;0;65;0;0;9;0;0;0;0;0;1;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0
2022-2023;1700 m a.s.l. E (Ericaceous);0;0;0;0;1259;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;1;0;0;4;0;0;0;0;0;80;12;1;10;3;0;0;0;0;0;0;0;0;2;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0
2022-2023;1500 m a.s.l. E (Ericaceous);0;0;0;0;31;0;0;0;2;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;2264;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;1;0;0;0;0;0;72;33;0;0;0;0;0;46;0;0;0;0;1;14;0;46;0;0;1;20;0;0;0;0;0;1;0;0;0
2022-2023;1300 m a.s.l. E (Ericaceous);0;0;0;0;88;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;935;0;0;0;4;0;2;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;0;0;1;33;0;1;0;22;0;0;0;9;0;0;0;4;0;0;0;0;2
2022-2023;1100 m a.s.l. E (Ericaceous);0;0;0;0;800;0;0;0;6;0;0;0;0;0;1;91;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;3;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;4498;0;0;0;0;0;1;0;0;11;0;0;0;7;9;0;0;0;0;0;0;0;18;104;18;54;2;0;0;75;6;0;0;0;0;3;0;28;0;0;0;70;0;0;0;2;0;0;0;0;0
2022-2023;900 m a.s.l. E (Restioid);0;0;0;1;0;2944;0;0;20;0;0;0;0;37;1;13;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;2;0;73;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;248;0;0;0;0;0;0;0;0;0;0;0;0;0;4445;0;0;0;1;90;1;0;0;155;0;0;0;0;0;0;0;0;0;0;22;7;87;624;0;8;0;0;0;0;0;0;0;19;0;0;0;51;0;0;0;32;0;0;0;16;0;14;0;0;0
2022-2023;500 m a.s.l. E (Succulent_Karoo);1;0;0;0;0;0;0;0;0;0;0;21;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;74;0;151;0;0;0;170;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;368;883;0;0;0;0;0;0;0;0;0;0;0;0;0;75;6;0;0;3;0;0;1;17;0;0;0;0;0
