"Species","VegTypes_2002","VegTypes_2022","Status"
"anthia_decemguttata","ericaceous, proteoid, restioid","alpine, ericaceous, proteoid, restioid","Shifted vegetation type"
"stenocara_dentata","ericaceous, succulent_karoo","ericaceous, proteoid, strandveld, succulent_karoo","Shifted vegetation type"
"zophosis_gracilicornis","ericaceous, proteoid, restioid, strandveld, succulent_karoo","ericaceous, proteoid, restioid, strandveld, succulent_karoo","Stable across vegetation types"
