site,replicate,year,pH (Kcl),Resist. (ohm),H+ (cmol/Kg),P (Bray ll) (mg/kg),K (mg/kg),Na,K_cation,Ca,Mg,C (%),NO3 (mg/kg),clay,silt,sand,rock,Na (%),K (%),Ca (%),Mg (%),T Value (cmol/kg)
1,1,2002,7.7,1770,0,4,7,0.12,0.02,5.12,0.18,0.2,5.28,0.4,0.8,98.8,0,2.2,0.34,94.16,3.31,5.44
1,2,2002,7.9,1390,0,7,12,0.17,0.03,5.86,0.37,0.3,1.82,0.3,1.3,98.4,0,2.69,0.47,91.12,5.72,6.43
1,3,2002,8,2740,0,4,9,0.11,0.02,6.64,0.34,0.18,1.63,0.3,1.2,98.5,0,1.6,0.34,93.26,4.79,7.12
1,4,2002,8.3,2310,0,4,8,0.11,0.02,7.73,0.21,0.26,2.58,0,1.1,98.9,0,1.41,0.27,95.78,2.54,8.07
2,1,2002,3.8,2090,0.96,2,15,0.02,0.04,0.28,0.09,0.72,10.64,0.4,0.8,98.8,0,1.18,2.78,20.16,6.29,1.38
2,2,2002,4.2,1790,0.71,3,16,0.02,0.04,0.54,0.13,0.44,12.84,0.6,1.7,97.7,0,1.57,2.84,37.36,9.13,1.45
2,3,2002,3.7,1300,0.91,2,21,0.03,0.05,0.4,0.12,0.75,19.5,1.9,0.8,97.3,0,2.05,3.47,26.66,7.89,1.52
2,4,2002,4.7,1200,0.61,7,40,0.03,0.1,0.8,0.32,0.49,22.46,1.5,0.8,97.7,0,1.87,5.49,42.89,17.1,1.87
3,1,2002,4.4,2590,0.91,4,38,0.06,0.1,0.91,0.28,0.88,9.13,0.7,2.5,96.8,9,2.77,4.35,40.14,12.48,2.26
3,2,2002,3.8,2620,1.42,5,43,0.06,0.11,0.93,0.36,1.23,6.65,3.3,3.8,92.9,5,1.96,3.81,32.49,12.39,2.88
3,3,2002,4.3,2900,0.61,1,25,0.03,0.07,0.09,0.12,0.29,6.15,3.1,1.3,95.6,3,3.63,7.06,10.09,13.21,0.92
3,4,2002,4.6,4550,0.56,1,17,0.02,0.04,0.42,0.13,0.5,3.89,2.3,1.5,96.2,3,1.99,3.73,35.61,10.88,1.17
4,1,2002,4.3,2550,0.86,4,36,0.05,0.09,0.82,0.38,0.75,8.78,2.9,3.6,93.5,4,2.47,4.12,37.19,17.38,2.21
4,2,2002,4.2,1350,0.96,4,34,0.04,0.09,0.97,0.37,0.82,19.78,2.4,2.6,95,4,1.73,3.6,39.76,15.38,2.43
4,3,2002,3.9,2540,0.86,1,25,0.05,0.06,0.25,0.14,0.6,7.85,2.3,1.9,95.8,3,3.45,4.75,18.26,10.42,1.36
4,4,2002,4.1,5320,1.21,4,47,0.05,0.12,1.13,0.45,1.43,0.38,0.6,1.2,98.2,5,1.73,4.06,38.28,15.09,2.96
5,1,2002,4,2770,1.27,6,37,0.03,0.09,0.2,0.13,1.01,10.12,3.6,7,89.4,3,1.6,5.45,11.4,7.66,1.72
5,2,2002,4,3790,1.42,6,35,0.03,0.09,0.18,0.11,0.98,6.15,2.2,2.6,95.2,12,1.6,4.84,9.71,6.05,1.83
5,3,2002,3.5,2480,2.28,49,48,0.05,0.12,0.86,0.25,1.94,10.28,1.2,8,90.8,4,1.44,3.48,24.09,6.94,3.56
5,4,2002,3.4,3620,3.14,19,55,0.07,0.14,0.53,0.28,2.69,3.76,1.8,5.6,92.6,6,1.64,3.37,12.78,6.67,4.16
6,1,2002,4,3720,0.86,12,13,0.02,0.03,0.02,0.01,0.25,7.03,1.3,2.2,96.5,0,2.24,3.4,2.12,1.06,0.94
6,2,2002,3.5,3130,2.28,10,43,0.05,0.11,0.54,0.13,1.91,7.06,0.8,6.8,92.4,3,1.49,3.58,17.4,4.04,3.1
6,3,2002,3.6,3180,2.02,8,41,0.09,0.11,0.8,0.32,1.88,7.68,2.6,5.6,91.8,7,2.57,3.18,24.07,9.47,3.33
6,4,2002,3.6,2650,1.92,9,34,0.05,0.09,0.99,0.23,1.7,11.02,3,4.4,92.6,10,1.56,2.64,30.11,7.1,3.28
7,1,2002,4.8,1120,0.91,32,70,0.05,0.18,1.58,0.48,1.09,28.27,2.8,2.4,94.8,12,1.44,5.63,49.4,15.03,3.19
7,2,2002,4.5,2080,1.52,8,132,0.08,0.34,2.5,0.81,2.28,7.71,0.8,6.4,92.8,18,1.48,6.42,47.6,15.52,5.25
7,3,2002,4.1,2010,1.42,6,85,0.08,0.22,1.47,0.47,1.61,12.34,1,6.8,92.2,14,2.3,5.97,40.06,12.86,3.66
7,4,2002,4.6,2180,0.96,53,79,0.12,0.2,1.35,0.58,1.06,7.3,2.2,8,89.8,14,3.73,6.26,42.13,17.97,3.21
8,1,2002,4.3,840,1.06,2,98,0.14,0.25,0.85,1.15,0.7,29.53,6.6,9.4,84,2,4.07,7.29,24.64,33.24,3.45
8,2,2002,4.2,1430,1.37,5,109,0.11,0.28,1,0.73,1.39,17.87,3.4,9.4,78.4,8,3.23,7.97,28.74,20.84,3.49
