site,replicate,"pH
KCl","Resist. *
(ohm)","H+
cmol/Kg","P
(Bray ll)
mg/kg","K
mg/kg",Na,K_cation,Ca,Mg,"C
%","S
Am.acet
*
mg/kg","EC *
mS/m","NO3 *
mg/kg",clay,silt,sand,rock,Waterholding 10kPa %,Waterholding 100kPa %,Waterholding mm/m,Na% ,K% ,Ca% ,Mg%,T Value (cmol/kg),Acid Sat% 
8,2,4.6,5300,0.88,3.6,143,0.12,0.37,0.99,0.79,0.9,4.4,4.61,0.85,12.8,10,77.2,3.6,25.39,13.44,119.47,3.81,11.64,31.43,25.08,3.15,27.93
8,3,4.2,6050,1.56,4.6,118,0.13,0.3,1.1,0.84,1.65,1.7,4.74,1.4,8.8,16,75.2,5.9,26.50,14.15,123.51,3.31,7.70,28.00,21.38,3.93,39.67
8,4,4.2,8650,1.23,4,93,0.11,0.24,0.92,0.52,0.92,1.7,3.16,0.61,6.8,12,81.2,4.2,25.00,12.34,126.58,3.64,7.89,30.43,17.20,3.02,40.79
9,1,3.9,4860,2.56,9.7,143,0.1,0.36,0.75,0.43,2.2,9,7.91,2.2,8.8,14,77.2,7.3,23.56,13.18,103.80,2.38,8.73,17.85,10.23,4.20,60.97
9,2,3.9,5220,3.21,12,105,0.08,0.27,0.96,0.36,2.26,7.8,7.12,3.2,8.8,14,77.2,6.4,22.10,12.86,92.39,1.64,5.51,19.66,7.37,4.88,65.79
9,3,3.7,6700,2.59,14.2,71.8,0.04,0.18,0.88,0.24,1.94,4.4,4.87,2.1,6.8,8,85.2,4.8,19.70,10.05,96.51,1.02,4.68,22.39,6.11,3.93,65.91
9,4,3.9,7820,3.01,6.6,77.7,0.06,0.2,0.38,0.21,2.11,12.1,4.41,1.9,4.8,12,83.2,6.8,22.70,11.35,113.46,1.55,5.16,9.84,5.44,3.86,77.99
10,1,3.7,7280,2.63,8.5,64,0.06,0.16,0.93,0.43,1.85,4.3,4.65,2.3,4.8,10,85.2,4.5,18.93,9.91,90.16,1.43,3.90,22.10,10.22,4.21,62.46
10,2,3.8,6250,2.42,7.5,86.1,0.05,0.22,0.87,0.42,1.7,4.7,5.01,1.4,6.8,8,85.2,8.4,17.34,9.21,81.36,1.26,5.55,21.87,10.56,3.98,60.79
10,3,4,4930,2.22,7.9,85.9,0.05,0.22,1.1,0.59,1.73,4.2,5.71,2.2,6.8,10,83.2,12.5,17.47,9.32,81.50,1.20,5.27,26.33,14.12,4.18,53.09
